"kode_biaya";"kode_jurusan";"tingkat";"tahun_akademik";"status";"biaya"
"22ABK02";"ABK";"2";"2022/2023";"KARYAWAN";"8700000"
"22ABK03";"ABK";"3";"2022/2023";"KARYAWAN";"8700000"
"22ABKO01";"ABKO";"1";"2022/2023";"KARYAWAN";"9200000"
"22AK03";"AK";"3";"2022/2023";"LP3I";"12000000"
"22AK04";"AK";"4";"2022/2023";"DNBS";"13000000"
"22B00102";"B001";"2";"2022/2023";"LP3I";"15000000"
"22B00302";"B003";"2";"2022/2023";"LP3I";"15000000"
"22B00702";"B007";"2";"2022/2023";"LP3I";"15000000"
"22MI01";"MI";"1";"2022/2023";"LP3I";"18000000"
"22MI02";"MI";"2";"2022/2023";"LP3I";"15000000"
"22MI03";"MI";"3";"2022/2023";"LP3I";"14000000"
"22MIK01";"MIK";"1";"2022/2023";"KARYAWAN";"8700000"
"22MIK02";"MIK";"2";"2022/2023";"KARYAWAN";"8700000"
"22MIK03";"MIK";"3";"2022/2023";"KARYAWAN";"8700000"
"22MIKO01";"MIKO";"1";"2022/2023";"KARYAWAN";"9200000"
"22MJ01";"MJ";"1";"2022/2023";"LP3I";"0"
"22MJ03";"MJ";"3";"2022/2023";"LP3I";"12000000"
"22MJ04";"MJ";"4";"2022/2023";"DNBS";"13000000"
"22MKKO01";"MKKO";"1";"2022/2023";"KARYAWAN";"9200000"
"22MKP01";"MKP";"1";"2022/2023";"LP3I";"18000000"
"22MKP02";"MKP";"2";"2022/2023";"LP3I";"15000000"
"22MKP03";"MKP";"3";"2022/2023";"LP3I";"14000000"
"22MKPK01";"MKPK";"1";"2022/2023";"KARYAWAN";"8700000"
"22MKPK02";"MKPK";"2";"2022/2023";"KARYAWAN";"8700000"
"22MKPK03";"MKPK";"3";"2022/2023";"KARYAWAN";"8700000"
"22MPKO01";"MPKO";"1";"2022/2023";"KARYAWAN";"9200000"
